# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
起床	qǐchuáng	verb — to get up, get out of bed	TOCFL 1
起步	qǐbù	verb — to start out, to get going (a venture)	TOCFL 5
起源	qǐyuán	verb — to originate; noun — origin, source	TOCFL 5
起火	qǐhuǒ	verb — to catch fire, to burst into flame; to light a fire (for cooking)	TOCFL 4
起碼	qǐmǎ	adverb — at least, at the minimum	TOCFL 5
起義	qǐyì	verb — to rise in revolt; noun — an uprising	TOCFL 7
起身	qǐshēn	verb — to get up, to rise (from sitting or bed); to set off	TOCFL 5
起飛	qǐfēi	verb — (of an aircraft) to take off; to lift into the air	TOCFL 3
超人	chāorén	noun — superman, superhuman; a person of extraordinary ability	TOCFL 4
超出	chāochū	verb — to exceed, to go beyond, to surpass (a limit, range, expectation)	TOCFL 4
超市	chāoshì	noun — supermarket (clipped form)	TOCFL 1
超級	chāojí	adjective/adverb — super, top-grade; (colloquial) extremely, really	TOCFL 3
超級市場	chāojí shìchǎng	noun — supermarket	TOCFL 1
超脫	chāotuō	verb — to rise above, to be detached (from worldly cares)	TOCFL 5
超越	chāoyuè	verb — to surpass, to transcend, to overtake (a rival, a limit)	TOCFL 4
超速	chāosù	verb — to speed, to exceed the speed limit	TOCFL 5
超過	chāoguò	verb — to exceed; to surpass; to go beyond	TOCFL 3
超重	chāozhòng	verb / adjective — to be overweight; to exceed the weight limit (luggage, vehicle, body)	TOCFL 4
越來越	yuèláiyuè	adverb — more and more; increasingly; progressively	TOCFL 3
趕上	gǎnshàng	verb — to catch up to; to catch (a train, bus) in time; to run into (a situation)	TOCFL 3
趕來	gǎnlái	verb — to rush over, to hurry here	TOCFL 4
趕到	gǎndào	verb — to rush over and arrive (in time)	TOCFL 4
趕忙	gǎnmáng	adverb — hurriedly, in haste	TOCFL 5
趕快	gǎnkuài	adverb — quickly; hurry up	TOCFL 3
趕緊	gǎnjǐn	adverb — hurriedly, right away, without delay	TOCFL 4
趣味	qùwèi	noun — interest, fun, flavor (of an activity)	TOCFL 5
趨勢	qūshì	noun — a trend; a tendency; the way things are heading	TOCFL 6
足以	zúyǐ	verb — to be enough to, sufficient to (do something)	TOCFL 4
足夠	zúgòu	adj/verb — enough, sufficient	TOCFL 4
足球	zúqiú	noun — soccer (the sport); a football (the ball)	TOCFL 2
跌倒	diédǎo	verb — to fall down, to trip and fall, to tumble over	TOCFL 4
跑步	pǎobù	verb — to run, jog (as exercise)	TOCFL 1
跑道	pǎodào	noun — track, runway	TOCFL 5
距離	jùlí	noun — distance; the gap between; verb — to be apart from	TOCFL 4
跟前	gēnqián	noun — right in front of, close by (someone)	TOCFL 5
跟進	gēnjìn	verb — to follow up, to keep pace, to follow suit	TOCFL 5
跟隨	gēnsuí	verb — to follow, go along after (a person or path)	TOCFL 4
跨越	kuàyuè	verb — to stride over, to cross, to surpass	TOCFL 5
路上	lùshàng	noun phrase — on the road; on the way	TOCFL 1
路口	lùkǒu	noun — intersection, the mouth of a road	TOCFL 1
路燈	lùdēng	noun — street lamp, street light	TOCFL 4
路線	lùxiàn	noun — route; line; course (a way laid out)	TOCFL 4
路過	lùguò	verb — to pass by, to go past (a place) on the way	TOCFL 5
跳舞	tiàowǔ	verb — to dance	TOCFL 1
跳遠	tiàoyuǎn	noun — long jump (the track-and-field event)	TOCFL 4
跳高	tiàogāo	noun — high jump (the track-and-field event)	TOCFL 4
踏實	tāshí	adjective — steady, grounded, down-to-earth; at ease	TOCFL 5
踴躍	yǒngyuè	adjective — eager, enthusiastic; verb — to leap forward eagerly	TOCFL 5
身上	shēnshang	noun/locative — on one's body; on one's person (carried, worn, or owed)	TOCFL 3
身份	shēnfèn	noun — identity; status; capacity (in which one acts)	TOCFL 4
身分	shēnfèn	noun — identity; status, standing (also written 身份)	TOCFL 5
身分證	shēnfènzhèng	noun — identity card, ID card	TOCFL 4
身子	shēnzi	noun — the body, one's health	TOCFL 4
身後	shēnhòu	noun/adv — behind one's back, behind the body; after one's death	TOCFL 6
身教	shēnjiào	noun — teaching by example, leading by one's own conduct	TOCFL 5
身材	shēncái	noun — one's figure, build, stature	TOCFL 4
身段	shēnduàn	noun — figure, posture, bearing (esp. of a performer); poise	TOCFL 5
身為	shēnwéi	verb — being in the position of, as one who is …	TOCFL 5
身穿	shēnchuān	verb — to be dressed in, to wear (on the body)	TOCFL 6
身邊	shēnbiān	noun — one's side; close at hand	TOCFL 3
身體	shēntǐ	noun — body; physique; physical health	TOCFL 3
身高	shēngāo	noun — height (of a person), stature	TOCFL 2
躲避	duǒbì	verb — to dodge; to evade; to take cover from	TOCFL 5
車廂	chēxiāng	noun — a railway carriage; the compartment of a train or bus	TOCFL 5
車票	chēpiào	noun — ticket (for a bus, train, or other vehicle)	TOCFL 4
車禍	chēhuò	noun — a traffic accident, car crash	TOCFL 3
車程	chēchéng	noun — driving distance; the time a trip takes by car	TOCFL 6
車站	chēzhàn	noun — station, stop (for buses or trains)	TOCFL 1
車輛	chēliàng	noun — vehicles (collective)	TOCFL 5
軌道	guǐdào	noun — track; rail; orbit (the fixed path of a train or a planet)	TOCFL 6
軍事	jūnshì	noun — military affairs; military matters	TOCFL 4
軍人	jūnrén	noun — a soldier; a member of the armed forces	TOCFL 5
軍備	jūnbèi	noun — armaments; military equipment and preparedness	TOCFL 5
軍官	jūnguān	noun — a military officer; a commissioned officer of the armed forces	TOCFL 6
軍艦	jūnjiàn	noun — a warship; a naval vessel	TOCFL 5
軍警	jūnjǐng	noun — the military and the police (taken together)	TOCFL 5
軍閥	jūnfá	noun — a warlord; a military strongman who holds a region by force	TOCFL 7
軍隊	jūnduì	noun — army; military forces; troops	TOCFL 5
軍馬	jūnmǎ	noun — a warhorse; army horses	TOCFL 6
軟弱	ruǎnruò	adjective — weak; feeble; lacking firmness of body or will	TOCFL 5
軟體	ruǎntǐ	noun — software	TOCFL 5
較大	jiàodà	adjective — comparatively large; fairly large; relatively big	TOCFL 5
較為	jiàowéi	adverb — comparatively; rather; somewhat (before an adjective: 較為重要)	TOCFL 2
較量	jiàoliàng	verb — to test one's strength against; to have a contest	TOCFL 5
輔導	fǔdǎo	verb — to counsel, to coach, to give guidance and tutoring (students, the troubled)	TOCFL 4
輕傷	qīngshāng	noun — a minor injury, a slight wound	TOCFL 4
輕易	qīngyì	adverb/adjective — easily; lightly; without much effort or thought	TOCFL 5
輕蔑	qīngmiè	verb/adjective — to scorn; to despise; contemptuous	TOCFL 5
輕薄	qīngbáo	adjective — thin and light (of objects); frivolous, disrespectful (of conduct)	TOCFL 5
輕視	qīngshì	verb — to look down on, to belittle, to make light of	TOCFL 4
輕輕	qīngqīng	adverb — gently; lightly; softly	TOCFL 2
輕鬆	qīngsōng	adjective — relaxed, easygoing, effortless	TOCFL 3
輝煌	huīhuáng	adjective — brilliant, splendid, glorious; resplendent	TOCFL 6
輩子	bèizi	noun (bound) — a lifetime, the span of a life (in 一輩子, 這輩子, 下輩子)	TOCFL 3
輪廓	lúnkuò	noun — an outline; a contour; the general shape of something	TOCFL 5
輪流	lúnliú	verb / adverb — to take turns, by turns, in rotation	TOCFL 4
輪胎	lúntāi	noun — a tyre	TOCFL 3
輪船	lúnchuán	noun — steamship, steamer (a large powered boat)	TOCFL 4
輸入	shūrù	verb — to input, to enter (data); to import (goods)	TOCFL 4
輸出	shūchū	verb — to output; to export; to send out (goods, data, power)	TOCFL 6
輸血	shūxiě	verb — to transfuse blood; noun — a blood transfusion	TOCFL 5
輻射	fúshè	noun — radiation; verb — to radiate outward	TOCFL 7
輿論	yúlùn	noun — public opinion	TOCFL 6
轉動	zhuǎndòng	verb — to turn; to rotate; to revolve	TOCFL 5
轉化	zhuǎnhuà	verb — to transform; to convert (into something else)	TOCFL 6
轉向	zhuǎnxiàng	verb — to turn toward; to change direction	TOCFL 2
轉告	zhuǎngào	verb — to pass on a message, to relay word (to a third person)	TOCFL 4
轉帳	zhuǎnzhàng	verb — to transfer money between accounts	TOCFL 5
轉手	zhuǎnshǒu	verb — to pass on to another; to resell what one has just bought	TOCFL 5
轉播	zhuǎnbò	verb — to broadcast a relay, to rebroadcast (a TV or radio signal)	TOCFL 4
轉機	zhuǎnjī	noun / verb — to change planes, a flight connection; (figurative) a turn for the better	TOCFL 4
轉眼	zhuǎnyǎn	adverb — in the blink of an eye; in an instant	TOCFL 5
轉移	zhuǎnyí	verb — to shift; to transfer; to divert (attention, location)	TOCFL 5
轉變	zhuǎnbiàn	verb — to transform; noun — a shift, a change	TOCFL 5
轉讓	zhuǎnràng	verb — to transfer (ownership of property, rights, a business) to another	TOCFL 7
轉身	zhuǎnshēn	verb — to turn around; to turn one's body	TOCFL 5
轉過	zhuǎnguò	verb — to turn around, turn over (the head, the body, a page)	TOCFL 3
轉達	zhuǎndá	verb — to convey, to pass along, to communicate (greetings, an opinion, on someone's behalf)	TOCFL 4
轎車	jiàochē	noun — a sedan car; a passenger automobile	TOCFL 5
轟動	hōngdòng	verb — to cause a sensation; to stir up widespread excitement	TOCFL 5
轟轟烈烈	hōnghōnglièliè	idiom — on a grand and stirring scale; vigorous and spectacular	TOCFL 6
辛勤	xīnqín	adjective — hardworking; diligent and toiling	TOCFL 5
辛苦	xīnkǔ	adjective — hard, toilsome, exhausting; phrase — thanks for your trouble	TOCFL 1
辛酸	xīnsuān	adjective — bitter and sad; the painful hardship of one's experience	TOCFL 5
辜負	gūfù	verb — to fail to live up to; to let down (someone's hopes or kindness)	TOCFL 5
辣椒	làjiāo	noun — chili pepper, hot pepper	TOCFL 4
辦事	bànshì	verb — to handle matters; to get things done	TOCFL 3
辦公	bàngōng	verb — to work (at an office), to handle official or business affairs	TOCFL 4
辦公室	bàngōngshì	noun — office; a place of work	TOCFL 2
辦案	bàn'àn	verb — to handle a case; to work a legal or criminal investigation	TOCFL 5
辦法	bànfǎ	noun — method; way; means (for solving a problem)	TOCFL 3
辦理	bànlǐ	verb — to handle, to process, to deal with (paperwork, affairs)	TOCFL 5
辨認	biànrèn	verb — to identify; to make out; to tell apart by looking	TOCFL 5
辨識	biànshí	verb — to recognize and distinguish; to identify (often by machine)	TOCFL 5
辭典	cídiǎn	noun — dictionary (esp. one explaining words and phrases)	TOCFL 4
辭職	cízhí	verb — to resign, to quit one's post	TOCFL 5
辭行	cíxíng	verb — to say goodbye before setting off on a journey	TOCFL 5
辯論	biànlùn	verb — to debate; noun — a debate	TOCFL 5
辯護	biànhù	verb — to defend (a case, a person); noun — defence	TOCFL 5
農作物	nóngzuòwù	noun — crops; agricultural produce	TOCFL 5
農具	nóngjù	noun — farm tools; agricultural implements	TOCFL 5
農場	nóngchǎng	noun — farm, ranch (a large agricultural establishment)	TOCFL 4
農夫	nóngfū	noun — farmer, peasant (a man who works the land)	TOCFL 4
農村	nóngcūn	noun — countryside; rural area; farming village	TOCFL 4
農業	nóngyè	noun — agriculture; farming	TOCFL 4
農民	nóngmín	noun — farmer; peasant	TOCFL 3
農產品	nóngchǎnpǐn	noun — agricultural produce, farm products	TOCFL 4
農田	nóngtián	noun — farmland; cultivated fields	TOCFL 5
農藥	nóngyào	noun — agricultural chemical, pesticide	TOCFL 4
迅速	xùnsù	adjective / adverb — fast, swift, rapid; rapidly	TOCFL 4
迎合	yínghé	verb — to cater to; to pander to (someone's taste)	TOCFL 5
迎接	yíngjiē	verb — to welcome, to greet, to receive (a guest, an arrival)	TOCFL 5
近代	jìndài	noun — modern times, the recent historical era	TOCFL 5
近來	jìnlái	adverb / noun — recently, lately, of late	TOCFL 4
近年來	jìnniánlái	adverb phrase — in recent years	TOCFL 2
近日	jìnrì	noun/adverb — recently; in the past few days	TOCFL 2
近期	jìnqī	noun — the near term; recently, in the near future	TOCFL 5
近視	jìnshì	noun / adjective — nearsightedness, myopia; shortsighted	TOCFL 4
返回	fǎnhuí	verb — to return, to go back	TOCFL 5
迫切	pòqiè	adjective — urgent, pressing, imperative (a need, a desire)	TOCFL 4
迫害	pòhài	verb — to persecute; noun — persecution	TOCFL 5
迴圈	huíquān	noun — (computing) a loop; a repeated cycle of steps	TOCFL 6
迴歸	huíguī	verb — to return to, revert to; noun — return; (statistics) regression	TOCFL 5
迴響	huíxiǎng	noun — repercussions; an echo, a public response	TOCFL 5
迷人	mírén	adjective — charming, enchanting, fascinating	TOCFL 3
迷信	míxìn	verb / noun — to be superstitious; superstition; blind faith	TOCFL 4
迷失	míshī	verb — to lose one's way, to get lost; to lose oneself (a direction, a sense of self)	TOCFL 4
迷宮	mígōng	noun — a maze; a labyrinth	TOCFL 5
迷惑	míhuò	verb — to confuse, to bewilder; adjective — bewildered	TOCFL 5
迷戀	míliàn	verb — to be infatuated with; to be obsessed with	TOCFL 5
迷糊	míhú	adjective — muddled, confused, dazed, fuzzy-headed	TOCFL 4
迷路	mílù	verb — to lose one's way, get lost	TOCFL 3
追捕	zhuībǔ	verb — to pursue and arrest; to hunt down	TOCFL 5
追查	zhuīchá	verb — to investigate, to trace back; to track down (a cause)	TOCFL 5
追求	zhuīqiú	verb — to pursue; to seek after; to court	TOCFL 4
追究	zhuījiū	verb — to look into and assign (responsibility, blame); to get to the bottom of	TOCFL 5
退休	tuìxiū	verb — to retire (from working life)	TOCFL 3
退出	tuìchū	verb — to withdraw; to quit; to exit	TOCFL 5
退化	tuìhuà	verb — to degenerate; to deteriorate, to regress	TOCFL 5
退回	tuìhuí	verb — to return, to send back, to give back (goods, a document, money)	TOCFL 4
退步	tuìbù	verb — to fall behind, regress, get worse; noun — a setback, room to back down	TOCFL 3
送到	sòngdào	verb — to deliver to; to see (someone) as far as	TOCFL 2
送行	sòngxíng	verb — to see someone off (on a journey); to send off a departing traveller	TOCFL 4
逃生	táoshēng	verb — to flee for one's life; to escape (a disaster)	TOCFL 5
逃稅	táoshuì	verb — to evade tax; noun — tax evasion	TOCFL 5
逃走	táozǒu	verb — to flee, to run away, to escape	TOCFL 4
逃避	táobì	verb — to evade, to dodge, to run away from (a duty, problem, reality)	TOCFL 4
逍遙	xiāoyáo	adjective — carefree, unfettered; at leisure and free of cares	TOCFL 5
透明	tòumíng	adjective — transparent; see-through; (of process) open	TOCFL 5
透過	tòuguò	preposition/verb — through, via, by means of	TOCFL 3
透露	tòulù	verb — to reveal, to let slip, to disclose	TOCFL 5
逐步	zhúbù	adverb — step by step; gradually	TOCFL 5
逐漸	zhújiàn	adverb — gradually; by degrees; little by little	TOCFL 5
途徑	tújìng	noun — a way; a channel; a means (of doing something)	TOCFL 6
逗留	dòuliú	verb — to stay (for a while); to linger, to stop over	TOCFL 5
這些	zhèxiē	determiner / pronoun — these	TOCFL 2
這位	zhèwèi	pronoun — this person (polite); this (with respectful measure 位)	TOCFL 2
這兒	zhèr	pronoun — here; this place (colloquial)	TOCFL 1
這時候	zhèshíhòu	adverb/noun — at this moment, right now	TOCFL 3
這樣	zhèyàng	pronoun / adverb — this way, like this, so	TOCFL 2
這樣子	zhèyàngzi	pronoun/adverb — like this, this way, in this manner (the softer colloquial 這樣)	TOCFL 3
這般	zhèbān	adjective/adverb — like this; such; in this way	TOCFL 6
這裏	zhèlǐ	pronoun — here; this place	TOCFL 1
這裡	zhèlǐ	pronoun — here; this place	TOCFL 1
